Open,Close,High,Low,Volume,Date
2330.41,2328.69,2337.11,2327.99,,01/06/25
2322.13,2330,2335.28,2317.01,,01/03/25
2320.45,2323.72,2333.26,2316.43,,01/02/25
2334.17,2320.36,2334.2,2312.32,,12/30/24
2331.08,2334.92,2341.88,2331,,12/27/24
2301.48,2325.72,2328.67,2301.45,,12/23/24
2296.7,2303.28,2315.61,2295.36,,12/20/24
2318.88,2295.04,2319.07,2290.24,,12/19/24
2328.1,2322.45,2338.54,2320.29,,12/18/24
2343.21,2327.72,2348.62,2327.1,,12/17/24
2359.46,2343.52,2364.82,2340.45,,12/16/24
2355.47,2356.85,2364.62,2351.98,,12/13/24
2353.4,2356.52,2363.34,2347.86,,12/12/24
2347,2352.59,2356.56,2341.35,,12/11/24
2340.58,2348.12,2349.02,2333.17,,12/10/24
2319.91,2340.92,2354.57,2319.91,,12/09/24
2313.38,2315.3,2329.32,2297.22,,12/06/24
2307.23,2313.99,2321.11,2304.69,,12/05/24
2265.67,2304.66,2306.94,2260.77,,12/04/24
2274.68,2267.09,2292.24,2263.78,,12/03/24
2259.19,2274.47,2283.86,2256.41,,12/02/24
2283.48,2261.55,2286.36,2261.55,,11/29/24
2315.28,2282.15,2318.79,2279.38,,11/28/24
2331.69,2315.59,2342.65,2307.19,,11/27/24
2305.32,2331.01,2334.13,2304.42,,11/26/24
2314.65,2307.8,2316.39,2303.34,,11/25/24
2310.97,2313.9,2318.24,2301.51,,11/22/24
2305.18,2311.86,2319.86,2294.15,,11/21/24
2284.64,2307.52,2314.67,2284.64,,11/20/24
2329.08,2288.37,2333.36,2276.77,,11/19/24
2309.86,2329.4,2335.42,2306.95,,11/18/24
2311.24,2308.71,2317.68,2306.97,,11/15/24
2292.85,2310.61,2318.98,2292.85,,11/14/24
2276.76,2290.35,2296.7,2272.26,,11/13/24
2257.36,2276.45,2285.16,2256.37,,11/12/24
2246.67,2258.04,2264.52,2246.61,,11/11/24
2246.35,2250.73,2255.31,2246.07,,11/08/24
2213.97,2248.01,2253.25,2213.97,,11/07/24
2172.64,2209.21,2211.84,2172.32,,11/06/24
2169.91,2178.85,2184.35,2169.91,,11/05/24
2189.74,2171.47,2200.48,2170.22,,11/04/24
2189.06,2189.58,2190.6,2184.75,,11/01/24
2181.18,2188.19,2194.8,2179.19,,10/31/24
2187.02,2182.07,2191.86,2179.49,,10/30/24
2184.06,2188.05,2195.84,2183.6,,10/29/24
2186.88,2183.06,2194.58,2181.49,,10/28/24
2178.28,2188.32,2195.51,2177.96,,10/25/24
2187.01,2180.39,2194.85,2180.39,,10/24/24
2187.03,2184.89,2189.94,2184.15,,10/23/24
2192.64,2189.6,2204.96,2188.38,,10/22/24
2195.64,2191.01,2203.52,2190.69,,10/21/24
2198.58,2197.83,2206.54,2197.23,,10/18/24
2209.63,2197.66,2215.05,2197.5,,10/17/24
2203.74,2208.53,2211.56,2200.97,,10/16/24
2196.47,2204.66,2209,2195.46,,10/15/24
2192.17,2196.85,2203.57,2192.17,,10/14/24
2185.84,2190.45,2196.3,2181.49,,10/11/24
2186.15,2187.01,2193.05,2175.64,,10/10/24
2181.55,2187.12,2193.71,2180.04,,10/09/24
